date,temperature,humidity,windspeed,rainchance,people,chicken,pork,fish,vegetable
1/6/2019,36,65,21,30,108,12,15.3,8,7
2/6/2019,36,70,15,70,123,12.7,14,7.5,7.7
3/6/2019,36,66,17,30,77,10,12.3,6.4,6.3
4/6/2019,36,72,10,30,80,10,11.8,7.2,6.3
5/6/2019,35,69,15,80,74,9.7,12,7,6.1
6/6/2019,36,68,17,70,87,10.1,14,7.2,6.2
7/6/2019,34,66,18,60,97,11.4,14.1,7.7,6
8/6/2019,34,66,19,60,112,11.8,14.3,7,6.3
9/6/2019,34,67,13,80,135,13.1,14.4,8.2,6.8
10/6/2019,34,70,13,90,68,6.3,8,5,4.3
11/6/2019,30,70,13,50,76,9.7,12,7,6.1
12/6/2019,34,74,5,30,79,10,11.8,7.2,6.2
13/6/2019,34,74,5,30,80,10,11.8,7.2,6.2
14/6/2019,34,70,13,90,90,11.2,14,7.1,7
15/6/2019,35,71,10,70,130,13,15,8,7.5
16/6/2019,34,71,9,70,125,12.5,13,8.3,7.6
17/6/2019,31,64,15,80,78,9.8,11.2,6.9,6.2
18/6/2019,33,63,19,40,83,10.1,12,7.2,6.7
19/6/2019,33,60,20,50,75,9.6,11.3,6.4,6.4
20/6/2019,35,65,17,30,78,9.8,11.2,6.9,6.5
21/6/2019,35,74,7,30,83,10.1,12,7.2,6.9
22/6/2019,36,74,7,20,99,11.4,14.1,7.7,6.5
23/6/2019,38,72,8,30,108,13,12,8.6,7.1
24/6/2019,33,70,12,40,74,7,8.8,8.5,6.2
25/6/2019,34,70,11,60,59,6,8.3,6.1,5.5
26/6/2019,34,65,12,70,70,7,8.4,4.9,6
27/6/2019,33,65,14,80,68,6.7,8.6,6.3,5.7
28/6/2019,33,68,14,70,63,6.3,8,7,5.7
29/6/2019,33,68,17,60,128,11.8,15,8.8,7.5
30/6/2019,31,69,7,50,140,13,14.6,7.7,7.8
1/7/2019,33,75,22,50,103,12,14.2,6,7.4
2/7/2019,34,75,18,70,64,6.8,8.4,5.8,5.6
3/7/2019,28,77,16,50,88,11.2,14,7.1,6.5
4/7/2019,31,76,10,50,89,11.2,14,7.1,7
5/7/2019,28,79,10,50,109,11.8,15,7.2,7.3
6/7/2019,32,85,6,40,120,13.2,14.6,8.3,7.7
7/7/2019,33,88,6,30,164,14.2,14,8.6,7.5
8/7/2019,34,83,15,80,59,6.3,8,4.8,5.4
9/7/2019,34,75,14,80,69,7,8.4,4.9,6.2
10/7/2019,34,73,11,70,63,7.1,8,5.2,6.1
11/7/2019,35,73,11,60,78,10,11.8,7.2,6.6
