date,temperature,humidity,windspeed,people
1/6/2019,36,65,21,108
2/6/2019,36,70,15,123
3/6/2019,36,66,17,77
4/6/2019,36,72,10,80
5/6/2019,35,69,15,74
6/6/2019,36,68,17,87
7/6/2019,34,66,18,97
8/6/2019,34,66,19,112
9/6/2019,34,67,13,135
10/6/2019,34,70,13,68
11/6/2019,30,70,13,76
12/6/2019,34,74,5,79
13/6/2019,34,74,5,80
14/6/2019,34,70,13,90
15/6/2019,35,71,10,130
16/6/2019,34,71,9,125
17/6/2019,31,64,15,78
18/6/2019,33,63,19,83
19/6/2019,33,60,20,75
20/6/2019,35,65,17,78
21/6/2019,35,74,7,83
22/6/2019,36,74,7,99
23/6/2019,38,72,8,108
24/6/2019,33,70,12,74
25/6/2019,34,70,11,59
26/6/2019,34,65,12,70
27/6/2019,33,65,14,68
28/6/2019,33,68,14,63
29/6/2019,33,68,17,128
30/6/2019,31,69,7,140
1/7/2019,33,75,22,103
2/7/2019,34,75,18,64
3/7/2019,28,77,16,88
4/7/2019,31,76,10,89
5/7/2019,28,79,10,109
6/7/2019,32,85,6,120
7/7/2019,33,88,6,164
8/7/2019,34,83,15,59
9/7/2019,34,75,14,69
10/7/2019,34,73,11,63
11/7/2019,35,73,11,78
12/7/2019,36,72,12,77
13/7/2019,35,69,13,208
14/7/2019,34,65,17,178
15/7/2019,34,64,17,180
16/7/2019,35,64,18,150
17/7/2019,34,67,18,100
18/7/2019,35,68,15,98
19/7/2019,35,69,8,74
20/7/2019,34,69,8,73
21/7/2019,34,70,7,89
22/7/2019,35,70,6,95
23/7/2019,36,65,4,58
24/7/2019,33,64,4,68
25/7/2019,33,63,9,74
26/7/2019,33,71,10,72
27/7/2019,33,71,16,150
28/7/2019,35,77,15,158
29/7/2019,35,78,15,170
30/7/2019,34,77,11,67
31/7/2019,34,75,13,67
1/8/2019,31,76,13,69
2/8/2019,34,73,22,72
3/8/2019,33,80,21,98
4/8/2019,31,84,20,107
5/8/2019,33,82,13,50
6/8/2019,33,80,9,60
7/8/2019,32,81,13,64
8/8/2019,32,79,15,75
9/8/2019,33,83,15,85
10/8/2019,32,83,18,137
11/8/2019,32,82,18,145
12/8/2019,33,76,17,150
13/8/2019,34,78,15,47
14/8/2019,34,80,13,59
15/8/2019,34,77,11,62
16/8/2019,34,77,11,73
17/8/2019,33,77,11,104
18/8/2019,33,78,11,109
19/8/2019,33,78,11,87
20/8/2019,33,76,11,79
21/8/2019,33,76,11,65
22/8/2019,32,80,9,67
23/8/2019,31,82,7,90
24/8/2019,31,83,7,111
25/8/2019,31,85,9,108
26/8/2019,32,85,9,96
27/8/2019,31,87,11,57
28/8/2019,32,85,9,60
29/8/2019,32,84,7,68
30/8/2019,32,75,4,53
31/8/2019,32,72,4,101
