date,temperature,humidity,rainchance,people
1/6/2019,36,65,30,108
2/6/2019,36,70,70,123
3/6/2019,36,66,30,77
4/6/2019,36,72,30,80
5/6/2019,35,69,80,74
6/6/2019,36,68,70,87
7/6/2019,34,66,60,97
8/6/2019,34,66,60,112
9/6/2019,34,67,80,135
10/6/2019,34,70,90,68
11/6/2019,30,70,50,76
12/6/2019,34,74,30,79
13/6/2019,34,74,30,80
14/6/2019,34,70,90,90
15/6/2019,35,71,70,130
16/6/2019,34,71,70,125
17/6/2019,31,64,80,78
18/6/2019,33,63,40,83
19/6/2019,33,60,50,75
20/6/2019,35,65,30,78
21/6/2019,35,74,30,83
22/6/2019,36,74,20,99
23/6/2019,38,72,30,108
24/6/2019,33,70,40,74
25/6/2019,34,70,60,59
26/6/2019,34,65,70,70
27/6/2019,33,65,80,68
28/6/2019,33,68,70,63
29/6/2019,33,68,60,128
30/6/2019,31,69,50,140
1/7/2019,33,75,50,103
2/7/2019,34,75,70,64
3/7/2019,28,77,50,88
4/7/2019,31,76,50,89
5/7/2019,28,79,50,109
6/7/2019,32,85,40,120
7/7/2019,33,88,30,164
8/7/2019,34,83,80,59
9/7/2019,34,75,80,69
10/7/2019,34,73,70,63
11/7/2019,35,73,60,78
12/7/2019,36,72,60,77
13/7/2019,35,69,20,208
14/7/2019,34,65,30,178
15/7/2019,34,64,50,180
16/7/2019,35,64,40,150
17/7/2019,34,67,60,100
18/7/2019,35,68,40,98
19/7/2019,35,69,50,74
20/7/2019,34,69,50,73
21/7/2019,34,70,60,89
22/7/2019,35,70,30,95
23/7/2019,36,65,90,58
24/7/2019,33,64,90,68
25/7/2019,33,63,80,74
26/7/2019,33,71,70,72
27/7/2019,33,71,40,150
28/7/2019,35,77,30,158
29/7/2019,35,78,30,170
30/7/2019,34,77,70,67
31/7/2019,34,75,70,67
1/8/2019,31,76,70,69
2/8/2019,34,73,60,72
3/8/2019,33,80,50,98
4/8/2019,31,84,50,107
5/8/2019,33,82,60,50
6/8/2019,33,80,50,60
7/8/2019,32,81,60,64
8/8/2019,32,79,50,75
9/8/2019,33,83,40,85
10/8/2019,32,83,40,137
11/8/2019,32,82,40,145
12/8/2019,33,76,30,150
13/8/2019,34,78,60,47
14/8/2019,34,80,90,59
15/8/2019,34,77,80,62
16/8/2019,34,77,70,73
17/8/2019,33,77,70,104
18/8/2019,33,78,50,109
19/8/2019,33,78,50,87
20/8/2019,33,76,40,79
21/8/2019,33,76,70,65
22/8/2019,32,80,80,67
23/8/2019,31,82,80,90
24/8/2019,31,83,40,111
25/8/2019,31,85,30,108
26/8/2019,32,85,60,96
27/8/2019,31,87,60,57
28/8/2019,32,85,60,60
29/8/2019,32,84,70,68
30/8/2019,32,75,80,53
31/8/2019,32,72,30,101
